Part,Value,Device,Package,Description,DIGIKEY,MF,MPN,PROD_ID,VALUE2
C1,10uF,CAPACITOR-10UF,0603-CAP,,,Murata,GRM188R60J106ME47D,,10uF
C2,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C3,22uF,CAPACITOR-22UF,0603-CAP,,,Murata,GRM188R60J226MEA0D,,22uF
C4,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C5,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C6,5.6 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C7,15 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C8,33 nF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C9,2.2 nF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C10,4.7 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C11,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C12,1.0 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C13,1.5 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C14,22 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C15,22 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C16,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C17,2.2uF,CAPACITOR-2.2UF,0603-CAP,,,Kemet,C0603C225K4PACTU,,2.2uF
C18,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C19,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C20,2.2uF,CAPACITOR-2.2UF,0603-CAP,,,Kemet,C0603C225K4PACTU,,2.2uF
C21,0.1uF,CAPACITOR-0.1UF,0603-CAP,,,Kemet,C0603C104J3RACTU,,0.1uF
C22,1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C23,15 pF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C24,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C25,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C26,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C27,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C28,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C29,22 pF,CAPACITOR-10UF,0603-CAP,,,Murata,GRM188R60J106ME47D,,10uF
C30,22 pF,CAPACITOR-10UF,0603-CAP,,,Murata,GRM188R60J106ME47D,,10uF
C31,22 pF,CAPACITOR-10UF,0603-CAP,,,Murata,GRM188R60J106ME47D,,10uF
C32,22 pF,CAPACITOR-10UF,0603-CAP,,,Murata,GRM188R60J106ME47D,,10uF
C33,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C34,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C35,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C36,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
C37,.1 uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,
JP1,,M15,1X15,Header 15,,,,,
JP3,,M04PTH,1X04,Header 4,,,,,
JP5,,M02PTH,1X02,"Standard 2-pin 0.1 header. Use with""",,,,,
L1,"2.2uH, 2.1A",LPS30152.2UH,LPS3015,Shielded Power Inductor,,Coilcraft,LPS3015-222MRB,,"2.2uH, 2.1A"
L2,2.7 nH,INDUCTOR0402,C0402,Inductors,,,,,
L3,600 Ohm/100 Mhz,INDUCTOR-BK2125HM601-T,805,Inductors,,Taiyo Yuden,BK2125HM601-T,,600 Ohm/100 Mhz
L4,600 Ohm/100 Mhz,INDUCTOR-BK2125HM601-T,805,Inductors,,Taiyo Yuden,BK2125HM601-T,,600 Ohm/100 Mhz
L5,8.2 nH,INDUCTOR0402,C0402,Inductors,,,,,
L6,3.9 nH,INDUCTOR0402,C0402,Inductors,,,,,
L7,,"INDUCTOR30OHM,1.8A",603,Inductors,,,,RES-07859,
L8,,"INDUCTOR30OHM,1.8A",603,Inductors,,,,RES-07859,
LED1,,LED-GREEN,LED-0603,LEDs,,Avago,HSMG-C190,,
LED2,,LED-GREEN,LED-0603,LEDs,,Avago,HSMG-C190,,
LED4,,LED-GREEN,LED-0603,LEDs,,Avago,HSMG-C190,,
R1,12k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R2,10K,RESISTOR-10K,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ103V,,10K
R3,2M,RESISTOR-2M,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ205V,,2M
R4,220K,RESISTOR-220K,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ224V,,220K
R5,12k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R6,220K,RESISTOR-220K,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ224V,,220K
R7,1.2M,RESISTOR-1.2M,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ125V,,1.2M
R8,330,RESISTOR-470,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ471V,,470
R9,470,RESISTOR-470,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ471V,,470
R10,1K,RESISTOR-1K,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ102V,,1K
R11,1M,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R12,22k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R13,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R14,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R15,12k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R16,470,RESISTOR-470,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ471V,,470
R17,330,RESISTOR-470,0603-RES,Resistor,,Panasonic,ERJ-3GEYJ471V,,470
R18,200,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R19,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R20,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R21,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R22,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R23,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R24,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R25,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R26,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R27,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R28,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R29,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R30,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R31,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R32,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R33,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R34,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R35,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R36,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R37,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R38,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R39,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R40,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R41,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R42,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R43,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R44,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R45,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R46,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R47,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R48,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R49,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R50,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R51,10k,RESISTOR0603-RES,0603-RES,Resistor,,,,,
R52,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
R53,,RESISTOR0402-RES,0402-RES,Resistor,,,,,
S1,,SWITCH-SPDT-SMD-A,SWITCH-SPST-SMD-A,SPDT Switch,,,,,
U$1,ANTENNA2SMD,ANTENNA2SMD,ANTENNA-CHIP2,Chip antenna,,,,,
U$2,ANTENNA2SMD,ANTENNA2SMD,ANTENNA-CHIP2,Chip antenna,,,,,
U$3,25Q40,25Q40,SOP8,,,,,,
U$4,NRF24L01,NRF24L01,QFN20(4X4),,,,,,
U$6,ESP8266EX,ESP8266EX,QFN32,,,,,,
U$7,"2X5_0.05_CORTEX_DEBUGTH_NOKEY_UNSHROUDED""","2X5_0.05_CORTEX_DEBUGTH_NOKEY_UNSHROUDED""","2X5_0.05_TH_NS""",,,,,,
U$8,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$11,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$13,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$14,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$15,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$16,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$17,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$18,LTST-C19FD1WT,LTST-C19FD1WT,LTST-C19FD1WT,,,,,,
U$20,PCA9552BS,PCA9552BS,HVQFN24,,,,,,
U$21,PCA9552BS,PCA9552BS,HVQFN24,,,,,,
U1,MK20DX256VLH7,MK20DX256VLH7,MK20DX256VLH7,,,Freescale,MK20DX256VLH7,,
U2,TPS61200,TPS61200,QFN-10_PAD,DC to DC Booster,,Texas Instruments,TPS61200DRCR,IC-10035,
U3,MPU-9250,MPU-9250,QFN-24/3MM,GYRO/ACCEL/COMPASS/9-AXIS,1428-1019-1-ND,,,,
Y1,32.768KHz,CRYSTAL/32.768KHZ/SMD-TXC_7A,CRYSTAL-TXC-7A,,,Epson Timing,FC-255 32.7680K-A3,,
Y2,16Mhz/8pF,CRYSTAL/SMD-5X3-GND16MHZ/8PF,CRYSTAL-SMD-5X3,,,ECS,ECS-160-8-30B-CKM,,16Mhz/8pF
Y3,26 Mhz,CRYSTAL5X3,CRYSTAL-SMD-5X3,Various standard crystals. Proven footprints.,,,,XTAL-08218,
Y4,16 Mhz,CRYSTAL5X3,CRYSTAL-SMD-5X3,Various standard crystals. Proven footprints.,,,,XTAL-08218,
