Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1
541-86.6LCT-ND,Vishay Dale,CRCW040286R6FKED,REF177,320
609-3712-ND,FCI,20021111-00010T4LF,REF156,10
535-10104-1-ND,Abracon LLC,ABS06-32.768KHZ-T,REF164,10
535-12077-1-ND,Abracon LLC,ASCO-8.000MHZ-EK-T3,REF165,10
445-4858-1-ND,TDK Corporation,C1005C0G1H1R5B050BA,REF170,10
445-4854-1-ND,TDK Corporation,C1005C0G1H010B050BA,REF174,10
445-1237-1-ND,TDK Corporation,C1005C0G1H150J050BA,REF171,20
445-1239-1-ND,TDK Corporation,C1005C0G1H220J050BA,REF173,20
445-4952-1-ND,TDK Corporation,C1005X7R1C104K050BC,REF167,150
445-1257-1-ND,TDK Corporation,C1005X7R1H222K050BA,REF172,10
445-7334-1-ND,TDK Corporation,C1005X7R1H333K050BB,REF169,10
445-9104-1-ND,TDK Corporation,C1608X7S0J106M080AC,REF166,70
445-6863-1-ND,TDK Corporation,C3225X7R1A226K230AC,REF168,20
445-5577-1-ND,TDK Corporation,CGA2B2C0G1H4R7C050BA,REF175,10
541-1.00MLCT-ND,Vishay Dale,CRCW04021M00FKED,REF182,10
541-1.20MLCT-ND,Vishay Dale,CRCW04021M20FKED,REF184,10
541-2.00MLCT-ND,Vishay Dale,CRCW04022M00FKED,REF183,10
541-10.0KLCT-ND,Vishay Dale,CRCW040210K0FKED,REF180,70
541-12.0KLCT-ND,Vishay Dale,CRCW040212K0FKED,REF178,30
541-22.0KLCT-ND,Vishay Dale,CRCW040222K0FKED,REF181,10
541-24.9LCT-ND,Vishay Dale,CRCW040224R9FKED,REF187,30
541-200LCT-ND,Vishay Dale,CRCW0402200RFKED,REF179,10
541-220KLCT-ND,Vishay Dale,CRCW0402220KFKED,REF186,20
