Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
AD1584BRTZ-REEL7	Analog Devices Inc	DK	AD1584BRTZ-REEL7CT-ND	IC V-REF 4.096V SOT-23	SOT23
ATMEGA1281-16AU	Atmel	DK	ATMEGA1281-16AU-ND	MCU AVR 128K FLASH 16MHZ 64TQFP	*
12065C103KAT2A	AVX Corporation	DK	478-1542-1-ND	CAP CERM .01UF 10% 50V X7R 1206	*
MF-SM030-2	Bourns Inc.	DK	MF-SM030CT-ND	FUSE RESETTABLE .30A 60V SMD	*
2M1-SP1-T2-B4-M6RE	Carling Technologies	DK	432-1164-ND	SW TOGGLE SPDT .4VA RT ANG PCB	*
5350T5	Chicago Miniature Lighting	DK	L20085-ND	LED GREEN T-3/4 RT ANG PCB	*
MX828DW	CML Electronics	MX	MX828DW	PL ENCODER/DECODER (DISCONTINUED!!!)	*
744C083103JPTR	CTS Resistor Products	DK	744C083103JPCT-ND	RES ARRAY 10K OHM 8TERM 4RES SMD	*
BAV16W-7-F	Diodes Inc	DK	BAV16W-FDICT-ND	DIODE SWITCH 75V 400MW SOD123	SOD123
BZT52C5V1-7-F	Diodes Inc	DK	BZT52C5V1-FDITR-ND	DIODE ZENER 5.1V 500MW SOD-123	SOD123
BZT52C5V6-7-F	Diodes Inc	DK	BZT52C5V6-FDICT-ND	DIODE ZENER 5.6V 500MW SOD-123	SOD123
RS1GB-13-F	Diodes Inc	DK	RS1GB-FDICT-ND	DIODE FAST RECOVERY 1A 400V SMB	SMB
ZXMN6A07ZTA	Diodes/Zetex	DK	ZXMN6A07ZCT-ND	MOSFET N-CH 60V 1.9A SOT-89	*
DNP	DO NOT PLACE	(N/A)	DO NOT PLACE	DO NOT PLACE	*
ECS-.327-12.5-13X	ECS Inc	DK	X1124-ND	CRYSTAL 32.768 KHZ 12.5PF CYL	*
ECS-40.3-20-5PX-TR	ECS Inc	DK	XC1258CT-ND	CRYSTAL 4.032MHZ 20PF SMD	*
ECS-35-18-10X	ECS Inc	DK	XC1371-ND	CRYSTAL 3.579545 MHZ 18PF CYL	*
ECS-160-18-9X	ECS Inc	DK	XC1383-ND	CRYSTAL 16.000 MHZ 18PF CYL	*
PM2001-200	JW Miller A Bourns Company	DK	M1331CT-ND	FERRITE CHIP 20 OHM 25%	*
PM1210-R10J	JW Miller A Bourns Company	DK	M6093CT-ND	INDUCTOR .10UH 5% 1210 SMD	*
PM3308-100M	JW Miller A Bourns Company	DK	M9719CT-ND	INDUCTOR POWER 10UH SMD	*
T491A104K035AT	Kemet	DK	399-3676-1-ND	CAPACITOR TANT .10UF 35V 10% SMD	*
T491A105K016AT	Kemet	DK	399-3678-1-ND	CAPACITOR TANT 1.0UF 16V 10% SMD	*
T491A225K010AT	Kemet	DK	399-3690-1-ND	CAPACITOR TANT 2.2UF 10V 10% SMD	*
T491B106M016AT	Kemet	DK	399-3708-1-ND	CAPACITOR TANT 10UF 16V 20% SMD	*
T491B226M016AT	Kemet	DK	399-3717-1-ND	CAPACITOR TANT 22UF 16V 20% SMD	*
CM1812R600R-10	Laird-Signal Integrity Products	DK	240-2454-1-ND	CHOKE COMMON MODE 60 OHMS SMD	*
DS1307Z+	Maxim Integrated Products	DK	DS1307Z+-ND	IC RTC SERIAL 512K 8-SOIC	SO08
MAX323CSA+	Maxim Integrated Products	DK	MAX323CSA+-ND	IC SWITCH DUAL SPST 8SOIC	SO08
70553-0007	Molex Connector Corporation	DK	WM4906-ND	CONN HEADER 8POS .100 R/A GOLD	*
16-02-0103	Molex Inc	DK	WM2512-ND	CONN TERM FEMALE 22-24AWG GOLD	*
50-57-9408	Molex Inc	DK	WM2906-ND	CONN HOUSING 8POS .100 W/LATCH	*
NCP21WF104J03RA	Murata Electronics North America	DK	490-2451-1-ND	THERMISTOR 100K OHM NTC 0805 SMD	*
182-009-113R531	Norcomp Inc.	DK	182-09ME-ND	CONN DB9 MALE .318" R/A NICKEL	*
